LABEL,SENSOR_A,SENSOR_B,TIME,container_id
UNLOAD_SHIP,-157,33,2016-01-01T07:04:03.259405,0
LOAD_TRAIN,103,-32,2016-01-04T09:40:37.897263,0
NOISE,77,-20,2016-01-04T21:26:00.897263,0
DEPART_TRAIN,-38,-56,2016-01-05T05:44:02.396489,0
NOISE,49,105,2016-01-06T03:10:44.396489,0
UNLOAD_SHIP,-267,58,2015-06-28T19:17:05.385260,1
LOAD_TRAIN,93,35,2015-07-01T21:33:34.377683,1
DEPART_TRAIN,-23,82,2015-07-02T16:23:50.373709,1
NOISE,95,29,2015-02-27T00:20:33.560899,2
NOISE,87,-70,2015-02-28T15:59:08.560899,2
UNLOAD_SHIP,-147,9,2015-02-28T16:54:45.576649,2
NOISE,34,-22,2015-03-03T00:55:25.576649,2
LOAD_TRAIN,93,27,2015-03-03T18:54:18.822876,2
DEPART_TRAIN,-14,-130,2015-03-04T19:56:37.619007,2
UNLOAD_SHIP,-306,63,2015-08-27T15:01:34.558450,3
LOAD_TRAIN,97,22,2015-08-30T21:31:12.428164,3
DEPART_TRAIN,39,108,2015-09-01T00:56:09.744202,3
UNLOAD_SHIP,-183,56,2015-01-31T00:34:27.000189,4
NOISE,95,-1,2015-02-02T14:04:59.000189,4
LOAD_TRAIN,135,46,2015-02-03T05:07:48.591410,4
DEPART_TRAIN,22,-140,2015-02-04T00:23:16.531146,4
UNLOAD_SHIP,-166,37,2015-07-16T02:53:21.975399,5
NOISE,117,66,2015-07-17T09:23:47.975399,5
LOAD_TRAIN,134,-38,2015-07-19T05:21:54.180079,5
DEPART_TRAIN,-24,-82,2015-07-20T03:46:54.038521,5
UNLOAD_SHIP,-242,35,2015-12-25T04:45:06.273308,6
LOAD_TRAIN,116,-1,2015-12-28T03:44:48.905104,6
NOISE,26,-113,2015-12-29T08:15:37.905104,6
DEPART_TRAIN,-25,-58,2015-12-29T10:21:03.904464,6
NOISE,10,24,2015-12-31T02:17:49.904464,6
NOISE,31,10,2015-08-27T00:41:33.745181,7
UNLOAD_SHIP,-239,3,2015-08-28T08:33:14.374456,7
NOISE,41,24,2015-08-29T04:32:17.374456,7
LOAD_TRAIN,60,31,2015-08-31T14:04:25.792158,7
DEPART_TRAIN,32,-102,2015-09-01T09:34:30.110078,7
NOISE,66,84,2015-03-18T16:34:45.902472,8
UNLOAD_SHIP,-305,60,2015-03-19T20:12:04.069569,8
LOAD_TRAIN,65,-7,2015-03-23T03:05:34.606574,8
DEPART_TRAIN,7,-81,2015-03-24T09:41:01.910461,8
UNLOAD_SHIP,-220,30,2015-12-31T17:44:37.765137,9
NOISE,57,47,2016-01-03T12:09:59.765137,9
LOAD_TRAIN,139,2,2016-01-03T23:54:19.920294,9
DEPART_TRAIN,-17,86,2016-01-04T17:12:40.871644,9
UNLOAD_SHIP,-267,-43,2015-05-11T11:40:35.686741,10
LOAD_TRAIN,72,-21,2015-05-14T13:24:07.424426,10
NOISE,38,-104,2015-05-15T10:48:30.424426,10
DEPART_TRAIN,-1,134,2015-05-15T14:36:10.726231,10
NOISE,34,-97,2015-05-16T09:21:08.726231,10
NOISE,106,109,2015-11-18T18:24:39.537175,11
UNLOAD_SHIP,-162,62,2015-11-18T21:14:14.191636,11
LOAD_TRAIN,112,4,2015-11-22T00:53:17.065739,11
DEPART_TRAIN,6,-97,2015-11-23T03:43:28.258351,11
